Receptor,flg22Pae,flg22Agro,flg22 001,flg22 002,flg22 004,flg22 005,flg22 006,flg22 007,flg22 008,flg22 009
NbFLS2,100,-1.136,-2.104303839,-0.792057917,-1.37399983,-1.25355559,-1.356459407,0.310194564,0.483252081,0.179145732
FLS2XL,100,139.2265947,-4.051984605,66.81929052,58.92578231,0.401340182,8.200897587,9.690230152,1.971994756,0.359893658
TjFLS2,100,49.376553,91.2756953,58.5714513,8.17455683,-1.6524588,54.2771216,65.5646508,0.857183336,-0.57245479
QvFLS2,100,50.9202183,86.7841433,-0.99644841,-0.32263915,68.7211863,111.152441,156.725316,6.81290267,1.49705313
