Receptor,flg22Pae,flg22Agro,flg22 001,flg22 002,flg22 004,flg22 005,flg22 006,flg22 007,flg22 008,flg22 009
NbFLS2,100,1.220573334,0.604196984,0,0,2.090867155,0,2.037707067,0.036017886,0
FLS2XL,100,92.8733088,0,50.65126145,31.18968496,31.10484672,0,0,0,0
TjFLS2,100,26.49471988,31.34533546,15.42529903,0,1.08837304,28.61178986,22.56057829,1.029830992,0
<<<<<<< HEAD,,,,,,,,,,
QvFLS2,100,7.36553858,44.54612277,1.037673912,2.620548002,0.436753588,42.84013389,32.04993503,0,2.698948939
=======,,,,,,,,,,
QvFLS2,100,4.186249129,38.74452086,2.217941771,8.62463161,1.933979369,35.21729261,25.28265116,0,0
>>>>>>> 6e34335c85f64a051b91399427db394ead6f52b4,,,,,,,,,,
